[4] eval gmm::jacobian 2_2_1000 , 0.003814991 s evaluate ✓
[316] eval gmm::jacobian 10_25_1000 , 0.178817460 s evaluate ✓
[320] eval gmm::jacobian 32_8_1000 , 0.808000000 s evaluate ✓
[324] eval gmm::jacobian 28_10_1000 , 0.558722222 s evaluate ✓
[328] eval gmm::jacobian 6_50_1000 , 0.171642857 s evaluate ✓
[332] eval gmm::jacobian 10_30_1000 , 0.226666667 s evaluate ✓
[336] eval gmm::jacobian 12_25_1000 , 0.295416667 s evaluate ✓
[340] eval gmm::jacobian 20_15_1000 , 0.506916667 s evaluate ✓
[344] eval gmm::jacobian 8_40_1000 , 0.254911111 s evaluate ✓
[348] eval gmm::jacobian 16_20_1000 , 0.416944444 s evaluate ✓
[352] eval gmm::jacobian 32_10_1000 , 1.151500000 s evaluate ✓
[356] eval gmm::jacobian 12_30_1000 , 0.409861111 s evaluate ✓
[360] eval gmm::jacobian 24_15_1000 , 0.715166667 s evaluate ✓
[364] eval gmm::jacobian 8_50_1000 , 0.275566667 s evaluate ✓
[368] eval gmm::jacobian 10_40_1000 , 0.576777778 s evaluate ✓
[372] eval gmm::jacobian 16_25_1000 , 1.015666667 s evaluate ✓
[376] eval gmm::jacobian 20_20_1000 , 0.620444444 s evaluate ✓
[380] eval gmm::jacobian 28_15_1000 , 1.624666667 s evaluate ✓
[384] eval gmm::jacobian 12_40_1000 , 0.735388889 s evaluate ✓
[388] eval gmm::jacobian 16_30_1000 , 0.805000000 s evaluate ✓
[392] eval gmm::jacobian 24_20_1000 , 1.262000000 s evaluate ✓
[396] eval gmm::jacobian 32_15_1000 , 2.873000000 s evaluate ✓
[400] eval gmm::jacobian 10_50_1000 , 0.826777778 s evaluate ✓
[404] eval gmm::jacobian 20_25_1000 , 1.450833333 s evaluate ✓
[408] eval gmm::jacobian 28_20_1000 , 2.292666667 s evaluate ✓
[412] eval gmm::jacobian 12_50_1000 , 0.904166667 s evaluate ✓
[416] eval gmm::jacobian 20_30_1000 , 1.703000000 s evaluate ✓
[420] eval gmm::jacobian 24_25_1000 , 1.778000000 s evaluate ✓
[424] eval gmm::jacobian 16_40_1000 , 1.134000000 s evaluate ✓
[428] eval gmm::jacobian 32_20_1000 , 3.586333333 s evaluate ✓
[432] eval gmm::jacobian 28_25_1000 , 2.000000000 s evaluate ✓
[436] eval gmm::jacobian 24_30_1000 , 1.789666667 s evaluate ✓
[440] eval gmm::jacobian 16_50_1000 , 1.106166667 s evaluate ✓
[444] eval gmm::jacobian 20_40_1000 , 1.443666667 s evaluate ✓
[448] eval gmm::jacobian 32_25_1000 , 4.933000000 s evaluate ✓
[452] eval gmm::jacobian 28_30_1000 , 2.471333333 s evaluate ✓
[456] eval gmm::jacobian 24_40_1000 , 2.129333333 s evaluate ✓
[460] eval gmm::jacobian 32_30_1000 , 4.808333333 s evaluate ✓
[464] eval gmm::jacobian 20_50_1000 , 1.964666667 s evaluate ✓
[468] eval gmm::jacobian 28_40_1000 , 2.797000000 s evaluate ✓
[472] eval gmm::jacobian 24_50_1000 , 2.663666667 s evaluate ✓
[476] eval gmm::jacobian 32_40_1000 , 6.967000000 s evaluate ✓
[480] eval gmm::jacobian 28_50_1000 , 3.097666667 s evaluate ✓
[484] eval gmm::jacobian 32_50_1000 , 10.827666667 s evaluate ✓
