[4] eval det::gradient 5_run0 , 0.000238136 s evaluate ✓
[168] eval det::gradient 7_run7 , 0.008829606 s evaluate ✓
[172] eval det::gradient 7_run8 , 0.009204446 s evaluate ✓
[176] eval det::gradient 7_run9 , 0.008649581 s evaluate ✓
[180] eval det::gradient 7_run10 , 0.008485817 s evaluate ✓
[184] eval det::gradient 7_run11 , 0.008449238 s evaluate ✓
[188] eval det::gradient 7_run12 , 0.009766168 s evaluate ✓
[192] eval det::gradient 7_run13 , 0.009083535 s evaluate ✓
[196] eval det::gradient 7_run14 , 0.009592658 s evaluate ✓
[200] eval det::gradient 7_run15 , 0.009985236 s evaluate ✓
[204] eval det::gradient 7_run16 , 0.011576690 s evaluate ✓
[208] eval det::gradient 8_run0 , 0.086039683 s evaluate ✓
[212] eval det::gradient 8_run1 , 0.074358466 s evaluate ✓
[216] eval det::gradient 8_run2 , 0.069124876 s evaluate ✓
[220] eval det::gradient 8_run3 , 0.068789294 s evaluate ✓
[224] eval det::gradient 8_run4 , 0.067818713 s evaluate ✓
[228] eval det::gradient 8_run5 , 0.076018854 s evaluate ✓
[232] eval det::gradient 8_run6 , 0.070540616 s evaluate ✓
[236] eval det::gradient 8_run7 , 0.087293627 s evaluate ✓
[240] eval det::gradient 8_run8 , 0.079419577 s evaluate ✓
[244] eval det::gradient 8_run9 , 0.071091061 s evaluate ✓
[248] eval det::gradient 8_run10 , 0.073644904 s evaluate ✓
[252] eval det::gradient 8_run11 , 0.074593455 s evaluate ✓
[256] eval det::gradient 8_run12 , 0.070745218 s evaluate ✓
[260] eval det::gradient 8_run13 , 0.082894639 s evaluate ✓
[264] eval det::gradient 8_run14 , 0.072029915 s evaluate ✓
[268] eval det::gradient 8_run15 , 0.070155881 s evaluate ✓
[272] eval det::gradient 8_run16 , 0.067279365 s evaluate ✓
[276] eval det::gradient 9_run0 , 0.667333333 s evaluate ✓
[280] eval det::gradient 9_run1 , 0.630222222 s evaluate ✓
[284] eval det::gradient 9_run2 , 0.689000000 s evaluate ✓
[288] eval det::gradient 9_run3 , 0.699833333 s evaluate ✓
[292] eval det::gradient 9_run4 , 0.631333333 s evaluate ✓
[296] eval det::gradient 9_run5 , 0.661000000 s evaluate ✓
[300] eval det::gradient 9_run6 , 0.714111111 s evaluate ✓
[304] eval det::gradient 9_run7 , 0.675000000 s evaluate ✓
[308] eval det::gradient 9_run8 , 0.640055556 s evaluate ✓
[312] eval det::gradient 9_run9 , 0.642722222 s evaluate ✓
[316] eval det::gradient 9_run10 , 0.655833333 s evaluate ✓
[320] eval det::gradient 9_run11 , 0.639666667 s evaluate ✓
[324] eval det::gradient 9_run12 , 0.625000000 s evaluate ✓
[328] eval det::gradient 9_run13 , 0.679055556 s evaluate ✓
[332] eval det::gradient 9_run14 , 0.719666667 s evaluate ✓
[336] eval det::gradient 9_run15 , 0.641333333 s evaluate ✓
[340] eval det::gradient 9_run16 , 0.643555556 s evaluate ✓
[344] eval det::gradient 10_run0 , 15.162000000 s evaluate ✓
[348] eval det::gradient 10_run1 , 6.966000000 s evaluate ✓
[352] eval det::gradient 10_run2 , 6.824666667 s evaluate ✓
[356] eval det::gradient 10_run3 , 7.077333333 s evaluate ✓
[360] eval det::gradient 10_run4 , 7.025000000 s evaluate ✓
[364] eval det::gradient 10_run5 , 6.923000000 s evaluate ✓
[368] eval det::gradient 10_run6 , 7.659666667 s evaluate ✓
[372] eval det::gradient 10_run7 , 7.032333333 s evaluate ✓
[376] eval det::gradient 10_run8 , 6.823333333 s evaluate ✓
[380] eval det::gradient 10_run9 , 6.830000000 s evaluate ✓
[384] eval det::gradient 10_run10 , 6.501333333 s evaluate ✓
[388] eval det::gradient 10_run11 , 6.523000000 s evaluate ✓
[392] eval det::gradient 10_run12 , 6.320333333 s evaluate ✓
[396] eval det::gradient 10_run13 , 6.509000000 s evaluate ✓
[400] eval det::gradient 10_run14 , 6.320000000 s evaluate ✓
[404] eval det::gradient 10_run15 , 6.528333333 s evaluate ✓
[408] eval det::gradient 10_run16 , 6.323333333 s evaluate ✓
