[4] eval xad::gradient 2_2_1000 , 0.010855887 s evaluate ✓
[160] eval xad::gradient 10_8_1000 , 0.486333333 s evaluate ✓
[164] eval xad::gradient 20_4_1000 , 0.902750000 s evaluate ✓
[168] eval xad::gradient 6_15_1000 , 0.369250000 s evaluate ✓
[172] eval xad::gradient 12_8_1000 , 0.705500000 s evaluate ✓
[176] eval xad::gradient 16_6_1000 , 0.959750000 s evaluate ✓
[180] eval xad::gradient 24_4_1000 , 1.518750000 s evaluate ✓
[184] eval xad::gradient 2_50_1000 , 0.330000000 s evaluate ✓
[188] eval xad::gradient 4_25_1000 , 0.369125000 s evaluate ✓
[192] eval xad::gradient 10_10_1000 , 0.873833333 s evaluate ✓
[196] eval xad::gradient 28_4_1000 , 4.103000000 s evaluate ✓
[200] eval xad::gradient 4_30_1000 , 0.612750000 s evaluate ✓
[204] eval xad::gradient 6_20_1000 , 0.672000000 s evaluate ✓
[208] eval xad::gradient 8_15_1000 , 0.723333333 s evaluate ✓
[212] eval xad::gradient 12_10_1000 , 1.098000000 s evaluate ✓
[216] eval xad::gradient 20_6_1000 , 1.644750000 s evaluate ✓
[220] eval xad::gradient 16_8_1000 , 1.311250000 s evaluate ✓
[224] eval xad::gradient 32_4_1000 , 3.330500000 s evaluate ✓
[228] eval xad::gradient 24_6_1000 , 3.033000000 s evaluate ✓
[232] eval xad::gradient 6_25_1000 , 0.666583333 s evaluate ✓
[236] eval xad::gradient 10_15_1000 , 1.010500000 s evaluate ✓
[240] eval xad::gradient 4_40_1000 , 0.590500000 s evaluate ✓
[244] eval xad::gradient 8_20_1000 , 0.893750000 s evaluate ✓
[248] eval xad::gradient 16_10_1000 , 1.892000000 s evaluate ✓
[252] eval xad::gradient 20_8_1000 , 2.600000000 s evaluate ✓
[256] eval xad::gradient 28_6_1000 , 3.773000000 s evaluate ✓
[260] eval xad::gradient 6_30_1000 , 0.853750000 s evaluate ✓
[264] eval xad::gradient 12_15_1000 , 1.364500000 s evaluate ✓
[268] eval xad::gradient 24_8_1000 , 3.775500000 s evaluate ✓
[272] eval xad::gradient 32_6_1000 , 5.735500000 s evaluate ✓
[276] eval xad::gradient 4_50_1000 , 0.792000000 s evaluate ✓
[280] eval xad::gradient 8_25_1000 , 1.219500000 s evaluate ✓
[284] eval xad::gradient 10_20_1000 , 1.423000000 s evaluate ✓
[288] eval xad::gradient 20_10_1000 , 3.929000000 s evaluate ✓
[292] eval xad::gradient 28_8_1000 , 5.723000000 s evaluate ✓
[296] eval xad::gradient 6_40_1000 , 1.535750000 s evaluate ✓
[300] eval xad::gradient 8_30_1000 , 2.470000000 s evaluate ✓
[304] eval xad::gradient 12_20_1000 , 2.494500000 s evaluate ✓
[308] eval xad::gradient 16_15_1000 , 2.735000000 s evaluate ✓
[312] eval xad::gradient 24_10_1000 , 4.550000000 s evaluate ✓
[316] eval xad::gradient 10_25_1000 , 1.393250000 s evaluate ✓
[320] eval xad::gradient 32_8_1000 , 7.547500000 s evaluate ✓
[324] eval xad::gradient 28_10_1000 , 5.561500000 s evaluate ✓
[328] eval xad::gradient 6_50_1000 , 1.281250000 s evaluate ✓
[332] eval xad::gradient 10_30_1000 , 2.353500000 s evaluate ✓
[336] eval xad::gradient 12_25_1000 , 3.211000000 s evaluate ✓
[340] eval xad::gradient 20_15_1000 , 4.374000000 s evaluate ✓
[344] eval xad::gradient 8_40_1000 , 2.058500000 s evaluate ✓
[348] eval xad::gradient 16_20_1000 , 3.701500000 s evaluate ✓
[352] eval xad::gradient 32_10_1000 , 9.808500000 s evaluate ✓
[356] eval xad::gradient 12_30_1000 , 3.504500000 s evaluate ✓
[360] eval xad::gradient 24_15_1000 , 6.403500000 s evaluate ✓
[364] eval xad::gradient 8_50_1000 , 2.781500000 s evaluate ✓
[368] eval xad::gradient 10_40_1000 , 3.153500000 s evaluate ✓
[372] eval xad::gradient 16_25_1000 , 4.848000000 s evaluate ✓
[376] eval xad::gradient 20_20_1000 , 6.123000000 s evaluate ✓
[380] eval xad::gradient 28_15_1000 , 10.109500000 s evaluate ✓
[384] eval xad::gradient 12_40_1000 , 5.203000000 s evaluate ✓
[388] eval xad::gradient 16_30_1000 , 6.612500000 s evaluate ✓
[392] eval xad::gradient 24_20_1000 , 10.060500000 s evaluate ✓
[396] eval xad::gradient 32_15_1000 , 15.402000000 s evaluate ✓
[400] eval xad::gradient 10_50_1000 , 4.935000000 s evaluate ✓
[404] eval xad::gradient 20_25_1000 , 8.674500000 s evaluate ✓
[408] eval xad::gradient 28_20_1000 , 13.413500000 s evaluate ✓
[412] eval xad::gradient 12_50_1000 , 6.964000000 s evaluate ✓
[416] eval xad::gradient 20_30_1000 , 10.577000000 s evaluate ✓
[420] eval xad::gradient 24_25_1000 , 12.607000000 s evaluate ✓
[424] eval xad::gradient 16_40_1000 , 8.933000000 s evaluate ✓
[428] eval xad::gradient 32_20_1000 , 20.426000000 s evaluate ✓
[432] eval xad::gradient 28_25_1000 , 15.041500000 s evaluate ✓
[436] eval xad::gradient 24_30_1000 , 13.514000000 s evaluate ✓
[440] eval xad::gradient 16_50_1000 , 9.948000000 s evaluate ✓
[444] eval xad::gradient 20_40_1000 , 12.012500000 s evaluate ✓
[448] eval xad::gradient 32_25_1000 , 24.094500000 s evaluate ✓
[452] eval xad::gradient 28_30_1000 , 17.637500000 s evaluate ✓
[456] eval xad::gradient 24_40_1000 , 16.761000000 s evaluate ✓
[460] eval xad::gradient 32_30_1000 , 28.244500000 s evaluate ✓
[464] eval xad::gradient 20_50_1000 , 15.052000000 s evaluate ✓
[468] eval xad::gradient 28_40_1000 , 23.532500000 s evaluate ✓
[472] eval xad::gradient 24_50_1000 , 21.551000000 s evaluate ✓
[476] eval xad::gradient 32_40_1000 , 37.231000000 s evaluate ✓
[480] eval xad::gradient 28_50_1000 , 29.366500000 s evaluate ✓
[484] eval xad::gradient 32_50_1000 , 51.132000000 s evaluate ✓
