[4] eval det::gradient 5_run0 , 0.000851324 s evaluate ✓
[228] eval det::gradient 8_run5 , 0.027899522 s evaluate ✓
[232] eval det::gradient 8_run6 , 0.029548611 s evaluate ✓
[236] eval det::gradient 8_run7 , 0.028022059 s evaluate ✓
[240] eval det::gradient 8_run8 , 0.026918421 s evaluate ✓
[244] eval det::gradient 8_run9 , 0.026016026 s evaluate ✓
[248] eval det::gradient 8_run10 , 0.027791120 s evaluate ✓
[252] eval det::gradient 8_run11 , 0.029399733 s evaluate ✓
[256] eval det::gradient 8_run12 , 0.030371648 s evaluate ✓
[260] eval det::gradient 8_run13 , 0.028497436 s evaluate ✓
[264] eval det::gradient 8_run14 , 0.026657353 s evaluate ✓
[268] eval det::gradient 8_run15 , 0.030227273 s evaluate ✓
[272] eval det::gradient 8_run16 , 0.028554293 s evaluate ✓
[276] eval det::gradient 9_run0 , 0.184400000 s evaluate ✓
[280] eval det::gradient 9_run1 , 0.177900000 s evaluate ✓
[284] eval det::gradient 9_run2 , 0.177433333 s evaluate ✓
[288] eval det::gradient 9_run3 , 0.170392857 s evaluate ✓
[292] eval det::gradient 9_run4 , 0.179633333 s evaluate ✓
[296] eval det::gradient 9_run5 , 0.176250000 s evaluate ✓
[300] eval det::gradient 9_run6 , 0.174333333 s evaluate ✓
[304] eval det::gradient 9_run7 , 0.174250000 s evaluate ✓
[308] eval det::gradient 9_run8 , 0.177750000 s evaluate ✓
[312] eval det::gradient 9_run9 , 0.203033333 s evaluate ✓
[316] eval det::gradient 9_run10 , 0.179950000 s evaluate ✓
[320] eval det::gradient 9_run11 , 0.179133333 s evaluate ✓
[324] eval det::gradient 9_run12 , 0.217000000 s evaluate ✓
[328] eval det::gradient 9_run13 , 0.209500000 s evaluate ✓
[332] eval det::gradient 9_run14 , 0.237500000 s evaluate ✓
[336] eval det::gradient 9_run15 , 0.211333333 s evaluate ✓
[340] eval det::gradient 9_run16 , 0.361000000 s evaluate ✓
[344] eval det::gradient 10_run0 , 5.389000000 s evaluate ✓
[348] eval det::gradient 10_run1 , 1.979500000 s evaluate ✓
[352] eval det::gradient 10_run2 , 2.039000000 s evaluate ✓
[356] eval det::gradient 10_run3 , 1.962500000 s evaluate ✓
[360] eval det::gradient 10_run4 , 1.820500000 s evaluate ✓
[364] eval det::gradient 10_run5 , 1.842500000 s evaluate ✓
[368] eval det::gradient 10_run6 , 2.034000000 s evaluate ✓
[372] eval det::gradient 10_run7 , 1.782000000 s evaluate ✓
[376] eval det::gradient 10_run8 , 1.889000000 s evaluate ✓
[380] eval det::gradient 10_run9 , 1.761000000 s evaluate ✓
[384] eval det::gradient 10_run10 , 1.793000000 s evaluate ✓
[388] eval det::gradient 10_run11 , 1.723500000 s evaluate ✓
[392] eval det::gradient 10_run12 , 1.942500000 s evaluate ✓
[396] eval det::gradient 10_run13 , 2.228500000 s evaluate ✓
[400] eval det::gradient 10_run14 , 2.102500000 s evaluate ✓
[404] eval det::gradient 10_run15 , 2.032000000 s evaluate ✓
[408] eval det::gradient 10_run16 , 1.734500000 s evaluate ✓
