[4] eval llsq::gradient n=16,m=16 , 0.000258862 s evaluate ✓
[312] eval llsq::gradient n=2048,m=80 , 0.061941585 s evaluate ✓
[316] eval llsq::gradient n=2048,m=96 , 0.068312500 s evaluate ✓
[320] eval llsq::gradient n=4096,m=48 , 0.070384213 s evaluate ✓
[324] eval llsq::gradient n=2048,m=112 , 0.070866667 s evaluate ✓
[328] eval llsq::gradient n=2048,m=128 , 0.080243590 s evaluate ✓
[332] eval llsq::gradient n=4096,m=64 , 0.102450000 s evaluate ✓
[336] eval llsq::gradient n=8192,m=32 , 0.090169231 s evaluate ✓
[340] eval llsq::gradient n=16385,m=16 , 0.089643939 s evaluate ✓
[344] eval llsq::gradient n=2048,m=144 , 0.096511189 s evaluate ✓
[348] eval llsq::gradient n=2048,m=160 , 0.140483333 s evaluate ✓
[352] eval llsq::gradient n=4096,m=80 , 0.130031746 s evaluate ✓
[356] eval llsq::gradient n=4096,m=96 , 0.155930556 s evaluate ✓
[360] eval llsq::gradient n=8192,m=48 , 0.122736111 s evaluate ✓
[364] eval llsq::gradient n=4096,m=112 , 0.137041667 s evaluate ✓
[368] eval llsq::gradient n=4096,m=128 , 0.204933333 s evaluate ✓
[372] eval llsq::gradient n=8192,m=64 , 0.171690476 s evaluate ✓
[376] eval llsq::gradient n=16385,m=32 , 0.167888889 s evaluate ✓
[380] eval llsq::gradient n=4096,m=144 , 0.192877778 s evaluate ✓
[384] eval llsq::gradient n=4096,m=160 , 0.208466667 s evaluate ✓
[388] eval llsq::gradient n=8192,m=80 , 0.276000000 s evaluate ✓
[392] eval llsq::gradient n=8192,m=96 , 0.302777778 s evaluate ✓
[396] eval llsq::gradient n=16385,m=48 , 0.279166667 s evaluate ✓
[400] eval llsq::gradient n=8192,m=112 , 0.350416667 s evaluate ✓
[404] eval llsq::gradient n=8192,m=128 , 0.829361111 s evaluate ✓
[408] eval llsq::gradient n=16385,m=64 , 0.733777778 s evaluate ✓
[412] eval llsq::gradient n=8192,m=144 , 0.600944444 s evaluate ✓
[416] eval llsq::gradient n=8192,m=160 , 0.720666667 s evaluate ✓
[420] eval llsq::gradient n=16385,m=80 , 0.940555556 s evaluate ✓
[424] eval llsq::gradient n=16385,m=96 , 0.886833333 s evaluate ✓
[428] eval llsq::gradient n=16385,m=112 , 1.105500000 s evaluate ✓
[432] eval llsq::gradient n=16385,m=128 , 1.771166667 s evaluate ✓
[436] eval llsq::gradient n=16385,m=144 , 1.882666667 s evaluate ✓
[440] eval llsq::gradient n=16385,m=160 , 1.812500000 s evaluate ✓
