[4] eval det::gradient 5_run0 , 0.000048726 s evaluate ✓
[144] eval det::gradient 7_run1 , 0.000730284 s evaluate ✓
[148] eval det::gradient 7_run2 , 0.000685354 s evaluate ✓
[152] eval det::gradient 7_run3 , 0.000650853 s evaluate ✓
[156] eval det::gradient 7_run4 , 0.000639209 s evaluate ✓
[160] eval det::gradient 7_run5 , 0.000616449 s evaluate ✓
[164] eval det::gradient 7_run6 , 0.000654708 s evaluate ✓
[168] eval det::gradient 7_run7 , 0.000694345 s evaluate ✓
[172] eval det::gradient 7_run8 , 0.000652055 s evaluate ✓
[176] eval det::gradient 7_run9 , 0.000629625 s evaluate ✓
[180] eval det::gradient 7_run10 , 0.000610308 s evaluate ✓
[184] eval det::gradient 7_run11 , 0.000700555 s evaluate ✓
[188] eval det::gradient 7_run12 , 0.000779876 s evaluate ✓
[192] eval det::gradient 7_run13 , 0.000763616 s evaluate ✓
[196] eval det::gradient 7_run14 , 0.000708244 s evaluate ✓
[200] eval det::gradient 7_run15 , 0.000691384 s evaluate ✓
[204] eval det::gradient 7_run16 , 0.000753259 s evaluate ✓
[208] eval det::gradient 8_run0 , 0.006648967 s evaluate ✓
[212] eval det::gradient 8_run1 , 0.006402579 s evaluate ✓
[216] eval det::gradient 8_run2 , 0.006369087 s evaluate ✓
[220] eval det::gradient 8_run3 , 0.005887861 s evaluate ✓
[224] eval det::gradient 8_run4 , 0.006060415 s evaluate ✓
[228] eval det::gradient 8_run5 , 0.005829554 s evaluate ✓
[232] eval det::gradient 8_run6 , 0.005723023 s evaluate ✓
[236] eval det::gradient 8_run7 , 0.006307852 s evaluate ✓
[240] eval det::gradient 8_run8 , 0.006096150 s evaluate ✓
[244] eval det::gradient 8_run9 , 0.005950474 s evaluate ✓
[248] eval det::gradient 8_run10 , 0.006090544 s evaluate ✓
[252] eval det::gradient 8_run11 , 0.006012905 s evaluate ✓
[256] eval det::gradient 8_run12 , 0.005684774 s evaluate ✓
[260] eval det::gradient 8_run13 , 0.006115272 s evaluate ✓
[264] eval det::gradient 8_run14 , 0.006455140 s evaluate ✓
[268] eval det::gradient 8_run15 , 0.008773416 s evaluate ✓
[272] eval det::gradient 8_run16 , 0.005962102 s evaluate ✓
[276] eval det::gradient 9_run0 , 0.641085714 s evaluate ✓
[280] eval det::gradient 9_run1 , 0.120123810 s evaluate ✓
[284] eval det::gradient 9_run2 , 0.141585714 s evaluate ✓
[288] eval det::gradient 9_run3 , 0.098977778 s evaluate ✓
[292] eval det::gradient 9_run4 , 0.090591919 s evaluate ✓
[296] eval det::gradient 9_run5 , 0.104513889 s evaluate ✓
[300] eval det::gradient 9_run6 , 0.096702131 s evaluate ✓
[304] eval det::gradient 9_run7 , 0.087811966 s evaluate ✓
[308] eval det::gradient 9_run8 , 0.084187302 s evaluate ✓
[312] eval det::gradient 9_run9 , 0.096615079 s evaluate ✓
[316] eval det::gradient 9_run10 , 0.094983333 s evaluate ✓
[320] eval det::gradient 9_run11 , 0.091083333 s evaluate ✓
[324] eval det::gradient 9_run12 , 0.090091880 s evaluate ✓
[328] eval det::gradient 9_run13 , 0.106413675 s evaluate ✓
[332] eval det::gradient 9_run14 , 0.092420202 s evaluate ✓
[336] eval det::gradient 9_run15 , 0.088249573 s evaluate ✓
[340] eval det::gradient 9_run16 , 0.081577778 s evaluate ✓
[344] eval det::gradient 10_run0 , 12.740500000 s evaluate ✓
[348] eval det::gradient 10_run1 , 1.644333333 s evaluate ✓
[352] eval det::gradient 10_run2 , 3.433166667 s evaluate ✓
[356] eval det::gradient 10_run3 , 1.764500000 s evaluate ✓
[360] eval det::gradient 10_run4 , 2.710833333 s evaluate ✓
[364] eval det::gradient 10_run5 , 1.675000000 s evaluate ✓
[368] eval det::gradient 10_run6 , 1.678500000 s evaluate ✓
[372] eval det::gradient 10_run7 , 1.985333333 s evaluate ✓
[376] eval det::gradient 10_run8 , 2.098166667 s evaluate ✓
[380] eval det::gradient 10_run9 , 1.628000000 s evaluate ✓
[384] eval det::gradient 10_run10 , 1.708666667 s evaluate ✓
[388] eval det::gradient 10_run11 , 2.130000000 s evaluate ✓
[392] eval det::gradient 10_run12 , 3.501333333 s evaluate ✓
[396] eval det::gradient 10_run13 , 1.759000000 s evaluate ✓
[400] eval det::gradient 10_run14 , 1.615000000 s evaluate ✓
[404] eval det::gradient 10_run15 , 6.107666667 s evaluate ✓
[408] eval det::gradient 10_run16 , 2.075000000 s evaluate ✓
