[4] eval llsq::gradient n=16,m=16 , 0.000046105 s evaluate ✓
[384] eval llsq::gradient n=4096,m=160 , 0.018098148 s evaluate ✓
[388] eval llsq::gradient n=8192,m=80 , 0.023304225 s evaluate ✓
[392] eval llsq::gradient n=8192,m=96 , 0.023104982 s evaluate ✓
[396] eval llsq::gradient n=16385,m=48 , 0.031890546 s evaluate ✓
[400] eval llsq::gradient n=8192,m=112 , 0.029175381 s evaluate ✓
[404] eval llsq::gradient n=8192,m=128 , 0.035147343 s evaluate ✓
[408] eval llsq::gradient n=16385,m=64 , 0.033909807 s evaluate ✓
[412] eval llsq::gradient n=8192,m=144 , 0.033523432 s evaluate ✓
[416] eval llsq::gradient n=8192,m=160 , 0.039194207 s evaluate ✓
[420] eval llsq::gradient n=16385,m=80 , 0.036982120 s evaluate ✓
[424] eval llsq::gradient n=16385,m=96 , 0.061597421 s evaluate ✓
[428] eval llsq::gradient n=16385,m=112 , 0.056306256 s evaluate ✓
[432] eval llsq::gradient n=16385,m=128 , 0.064865196 s evaluate ✓
[436] eval llsq::gradient n=16385,m=144 , 0.073121732 s evaluate ✓
[440] eval llsq::gradient n=16385,m=160 , 0.084410684 s evaluate ✓
