[4] eval gmm::jacobian 2_2_1000 , 0.000745301 s evaluate ✓
[144] eval gmm::jacobian 12_6_1000 , 0.020829754 s evaluate ✓
[148] eval gmm::jacobian 2_40_1000 , 0.011909993 s evaluate ✓
[152] eval gmm::jacobian 4_20_1000 , 0.009973370 s evaluate ✓
[156] eval gmm::jacobian 8_10_1000 , 0.027847110 s evaluate ✓
[160] eval gmm::jacobian 10_8_1000 , 0.026673077 s evaluate ✓
[164] eval gmm::jacobian 20_4_1000 , 0.021157086 s evaluate ✓
[168] eval gmm::jacobian 6_15_1000 , 0.018714508 s evaluate ✓
[172] eval gmm::jacobian 12_8_1000 , 0.025670921 s evaluate ✓
[176] eval gmm::jacobian 16_6_1000 , 0.034857576 s evaluate ✓
[180] eval gmm::jacobian 24_4_1000 , 0.033621100 s evaluate ✓
[184] eval gmm::jacobian 2_50_1000 , 0.013962143 s evaluate ✓
[188] eval gmm::jacobian 4_25_1000 , 0.011436364 s evaluate ✓
[192] eval gmm::jacobian 10_10_1000 , 0.043218182 s evaluate ✓
[196] eval gmm::jacobian 28_4_1000 , 0.037812165 s evaluate ✓
[200] eval gmm::jacobian 4_30_1000 , 0.015020292 s evaluate ✓
[204] eval gmm::jacobian 6_20_1000 , 0.024658120 s evaluate ✓
[208] eval gmm::jacobian 8_15_1000 , 0.048943452 s evaluate ✓
[212] eval gmm::jacobian 12_10_1000 , 0.034564103 s evaluate ✓
[216] eval gmm::jacobian 20_6_1000 , 0.036269231 s evaluate ✓
[220] eval gmm::jacobian 16_8_1000 , 0.035628205 s evaluate ✓
[224] eval gmm::jacobian 32_4_1000 , 0.080029167 s evaluate ✓
[228] eval gmm::jacobian 24_6_1000 , 0.049930127 s evaluate ✓
[232] eval gmm::jacobian 6_25_1000 , 0.035047386 s evaluate ✓
[236] eval gmm::jacobian 10_15_1000 , 0.045647204 s evaluate ✓
[240] eval gmm::jacobian 4_40_1000 , 0.027627526 s evaluate ✓
[244] eval gmm::jacobian 8_20_1000 , 0.065325368 s evaluate ✓
[248] eval gmm::jacobian 16_10_1000 , 0.052117647 s evaluate ✓
[252] eval gmm::jacobian 20_8_1000 , 0.041417532 s evaluate ✓
[256] eval gmm::jacobian 28_6_1000 , 0.063952381 s evaluate ✓
[260] eval gmm::jacobian 6_30_1000 , 0.037429348 s evaluate ✓
[264] eval gmm::jacobian 12_15_1000 , 0.048250000 s evaluate ✓
[268] eval gmm::jacobian 24_8_1000 , 0.070282609 s evaluate ✓
[272] eval gmm::jacobian 32_6_1000 , 0.063310049 s evaluate ✓
[276] eval gmm::jacobian 4_50_1000 , 0.024243915 s evaluate ✓
[280] eval gmm::jacobian 8_25_1000 , 0.064035714 s evaluate ✓
[284] eval gmm::jacobian 10_20_1000 , 0.080900000 s evaluate ✓
[288] eval gmm::jacobian 20_10_1000 , 0.072094156 s evaluate ✓
[292] eval gmm::jacobian 28_8_1000 , 0.067796970 s evaluate ✓
[296] eval gmm::jacobian 6_40_1000 , 0.048789683 s evaluate ✓
[300] eval gmm::jacobian 8_30_1000 , 0.092146853 s evaluate ✓
[304] eval gmm::jacobian 12_20_1000 , 0.075573529 s evaluate ✓
[308] eval gmm::jacobian 16_15_1000 , 0.075791667 s evaluate ✓
[312] eval gmm::jacobian 24_10_1000 , 0.103805556 s evaluate ✓
[316] eval gmm::jacobian 10_25_1000 , 0.075730769 s evaluate ✓
[320] eval gmm::jacobian 32_8_1000 , 0.099512626 s evaluate ✓
[324] eval gmm::jacobian 28_10_1000 , 0.111274510 s evaluate ✓
[328] eval gmm::jacobian 6_50_1000 , 0.064190559 s evaluate ✓
[332] eval gmm::jacobian 10_30_1000 , 0.127666667 s evaluate ✓
[336] eval gmm::jacobian 12_25_1000 , 0.117716667 s evaluate ✓
[340] eval gmm::jacobian 20_15_1000 , 0.110906250 s evaluate ✓
[344] eval gmm::jacobian 8_40_1000 , 0.116613636 s evaluate ✓
[348] eval gmm::jacobian 16_20_1000 , 0.134250000 s evaluate ✓
[352] eval gmm::jacobian 32_10_1000 , 0.131451923 s evaluate ✓
[356] eval gmm::jacobian 12_30_1000 , 0.151873626 s evaluate ✓
[360] eval gmm::jacobian 24_15_1000 , 0.302416667 s evaluate ✓
[364] eval gmm::jacobian 8_50_1000 , 0.407277778 s evaluate ✓
[368] eval gmm::jacobian 10_40_1000 , 0.146983333 s evaluate ✓
[372] eval gmm::jacobian 16_25_1000 , 0.150765152 s evaluate ✓
[376] eval gmm::jacobian 20_20_1000 , 0.145402597 s evaluate ✓
[380] eval gmm::jacobian 28_15_1000 , 0.173257576 s evaluate ✓
[384] eval gmm::jacobian 12_40_1000 , 0.226050000 s evaluate ✓
[388] eval gmm::jacobian 16_30_1000 , 0.168214286 s evaluate ✓
[392] eval gmm::jacobian 24_20_1000 , 0.188125000 s evaluate ✓
[396] eval gmm::jacobian 32_15_1000 , 0.209377778 s evaluate ✓
[400] eval gmm::jacobian 10_50_1000 , 0.193500000 s evaluate ✓
[404] eval gmm::jacobian 20_25_1000 , 0.159817460 s evaluate ✓
[408] eval gmm::jacobian 28_20_1000 , 0.232583333 s evaluate ✓
[412] eval gmm::jacobian 12_50_1000 , 0.207628571 s evaluate ✓
[416] eval gmm::jacobian 20_30_1000 , 0.185625000 s evaluate ✓
[420] eval gmm::jacobian 24_25_1000 , 0.291300000 s evaluate ✓
[424] eval gmm::jacobian 16_40_1000 , 0.220314286 s evaluate ✓
[428] eval gmm::jacobian 32_20_1000 , 0.280000000 s evaluate ✓
[432] eval gmm::jacobian 28_25_1000 , 0.275875000 s evaluate ✓
[436] eval gmm::jacobian 24_30_1000 , 0.328750000 s evaluate ✓
[440] eval gmm::jacobian 16_50_1000 , 0.267291667 s evaluate ✓
[444] eval gmm::jacobian 20_40_1000 , 0.259607143 s evaluate ✓
[448] eval gmm::jacobian 32_25_1000 , 0.362325000 s evaluate ✓
[452] eval gmm::jacobian 28_30_1000 , 0.365500000 s evaluate ✓
[456] eval gmm::jacobian 24_40_1000 , 0.551000000 s evaluate ✓
[460] eval gmm::jacobian 32_30_1000 , 0.578250000 s evaluate ✓
[464] eval gmm::jacobian 20_50_1000 , 0.371958333 s evaluate ✓
[468] eval gmm::jacobian 28_40_1000 , 0.438291667 s evaluate ✓
[472] eval gmm::jacobian 24_50_1000 , 0.550833333 s evaluate ✓
[476] eval gmm::jacobian 32_40_1000 , 0.779250000 s evaluate ✓
[480] eval gmm::jacobian 28_50_1000 , 0.624500000 s evaluate ✓
[484] eval gmm::jacobian 32_50_1000 , 0.998250000 s evaluate ✓
