[4] eval det::gradient 5_run0 , 0.000062441 s evaluate ✓
[320] eval det::gradient 9_run11 , 0.147494048 s evaluate ✓
[324] eval det::gradient 9_run12 , 0.138166667 s evaluate ✓
[328] eval det::gradient 9_run13 , 0.137791667 s evaluate ✓
[332] eval det::gradient 9_run14 , 0.139000000 s evaluate ✓
[336] eval det::gradient 9_run15 , 0.144750000 s evaluate ✓
[340] eval det::gradient 9_run16 , 0.154371032 s evaluate ✓
[344] eval det::gradient 10_run0 , 1.396000000 s evaluate ✓
[348] eval det::gradient 10_run1 , 1.548000000 s evaluate ✓
[352] eval det::gradient 10_run2 , 1.563000000 s evaluate ✓
[356] eval det::gradient 10_run3 , 1.497333333 s evaluate ✓
[360] eval det::gradient 10_run4 , 1.627333333 s evaluate ✓
[364] eval det::gradient 10_run5 , 1.689000000 s evaluate ✓
[368] eval det::gradient 10_run6 , 1.587333333 s evaluate ✓
[372] eval det::gradient 10_run7 , 1.648666667 s evaluate ✓
[376] eval det::gradient 10_run8 , 1.657666667 s evaluate ✓
[380] eval det::gradient 10_run9 , 1.722000000 s evaluate ✓
[384] eval det::gradient 10_run10 , 1.539000000 s evaluate ✓
[388] eval det::gradient 10_run11 , 1.942333333 s evaluate ✓
[392] eval det::gradient 10_run12 , 1.632333333 s evaluate ✓
[396] eval det::gradient 10_run13 , 1.531000000 s evaluate ✓
[400] eval det::gradient 10_run14 , 1.712333333 s evaluate ✓
[404] eval det::gradient 10_run15 , 1.571333333 s evaluate ✓
[408] eval det::gradient 10_run16 , 1.448000000 s evaluate ✓
