[4] eval ode::gradient n=1000,s=1 , 0.000028333 s evaluate ✓
[280] eval ode::gradient n=15000,s=20 , 0.008220209 s evaluate ✓
[284] eval ode::gradient n=20000,s=15 , 0.008192580 s evaluate ✓
[288] eval ode::gradient n=30000,s=10 , 0.010353339 s evaluate ✓
[292] eval ode::gradient n=7500,s=50 , 0.010199531 s evaluate ✓
[296] eval ode::gradient n=15000,s=25 , 0.010894167 s evaluate ✓
[300] eval ode::gradient n=25000,s=15 , 0.011681916 s evaluate ✓
[304] eval ode::gradient n=10000,s=40 , 0.010665514 s evaluate ✓
[308] eval ode::gradient n=20000,s=20 , 0.012088765 s evaluate ✓
[312] eval ode::gradient n=40000,s=10 , 0.015700392 s evaluate ✓
[316] eval ode::gradient n=15000,s=30 , 0.017333159 s evaluate ✓
[320] eval ode::gradient n=30000,s=15 , 0.018377513 s evaluate ✓
[324] eval ode::gradient n=10000,s=50 , 0.012192438 s evaluate ✓
[328] eval ode::gradient n=20000,s=25 , 0.015586925 s evaluate ✓
[332] eval ode::gradient n=25000,s=20 , 0.020120304 s evaluate ✓
[336] eval ode::gradient n=50000,s=10 , 0.025340568 s evaluate ✓
[340] eval ode::gradient n=15000,s=40 , 0.018919941 s evaluate ✓
[344] eval ode::gradient n=20000,s=30 , 0.015950030 s evaluate ✓
[348] eval ode::gradient n=30000,s=20 , 0.019671285 s evaluate ✓
[352] eval ode::gradient n=40000,s=15 , 0.022963194 s evaluate ✓
[356] eval ode::gradient n=25000,s=25 , 0.022748778 s evaluate ✓
[360] eval ode::gradient n=15000,s=50 , 0.021652500 s evaluate ✓
[364] eval ode::gradient n=25000,s=30 , 0.023247784 s evaluate ✓
[368] eval ode::gradient n=30000,s=25 , 0.027961461 s evaluate ✓
[372] eval ode::gradient n=50000,s=15 , 0.029387709 s evaluate ✓
[376] eval ode::gradient n=20000,s=40 , 0.023875665 s evaluate ✓
[380] eval ode::gradient n=40000,s=20 , 0.028337546 s evaluate ✓
[384] eval ode::gradient n=30000,s=30 , 0.035913623 s evaluate ✓
[388] eval ode::gradient n=20000,s=50 , 0.032139876 s evaluate ✓
[392] eval ode::gradient n=25000,s=40 , 0.037924242 s evaluate ✓
[396] eval ode::gradient n=40000,s=25 , 0.038914353 s evaluate ✓
[400] eval ode::gradient n=50000,s=20 , 0.044192936 s evaluate ✓
[404] eval ode::gradient n=30000,s=40 , 0.042173056 s evaluate ✓
[408] eval ode::gradient n=40000,s=30 , 0.046585026 s evaluate ✓
[412] eval ode::gradient n=25000,s=50 , 0.047874294 s evaluate ✓
[416] eval ode::gradient n=50000,s=25 , 0.064239977 s evaluate ✓
[420] eval ode::gradient n=30000,s=50 , 0.053168350 s evaluate ✓
[424] eval ode::gradient n=50000,s=30 , 0.056244631 s evaluate ✓
[428] eval ode::gradient n=40000,s=40 , 0.066378836 s evaluate ✓
[432] eval ode::gradient n=40000,s=50 , 0.077020635 s evaluate ✓
[436] eval ode::gradient n=50000,s=40 , 0.082261574 s evaluate ✓
[440] eval ode::gradient n=50000,s=50 , 0.143658730 s evaluate ✓
