[4] eval det::gradient 5_run0 , 0.000029140 s evaluate ✓
[340] eval det::gradient 9_run16 , 0.121116667 s evaluate ✓
[344] eval det::gradient 10_run0 , 11.382333333 s evaluate ✓
[348] eval det::gradient 10_run1 , 1.833333333 s evaluate ✓
[352] eval det::gradient 10_run2 , 2.303666667 s evaluate ✓
[356] eval det::gradient 10_run3 , 1.863000000 s evaluate ✓
[360] eval det::gradient 10_run4 , 1.519333333 s evaluate ✓
[364] eval det::gradient 10_run5 , 1.581333333 s evaluate ✓
[368] eval det::gradient 10_run6 , 1.576666667 s evaluate ✓
[372] eval det::gradient 10_run7 , 1.487333333 s evaluate ✓
[376] eval det::gradient 10_run8 , 1.712666667 s evaluate ✓
[380] eval det::gradient 10_run9 , 1.628000000 s evaluate ✓
[384] eval det::gradient 10_run10 , 1.645666667 s evaluate ✓
[388] eval det::gradient 10_run11 , 1.593666667 s evaluate ✓
[392] eval det::gradient 10_run12 , 1.562000000 s evaluate ✓
[396] eval det::gradient 10_run13 , 1.525666667 s evaluate ✓
[400] eval det::gradient 10_run14 , 1.561666667 s evaluate ✓
[404] eval det::gradient 10_run15 , 1.615333333 s evaluate ✓
[408] eval det::gradient 10_run16 , 1.694333333 s evaluate ✓
