[4] eval gmm::jacobian 2_2_1000 , 0.000636519 s evaluate ✓
[144] eval gmm::jacobian 12_6_1000 , 0.058221841 s evaluate ✓
[148] eval gmm::jacobian 2_40_1000 , 0.028391787 s evaluate ✓
[152] eval gmm::jacobian 4_20_1000 , 0.027178241 s evaluate ✓
[156] eval gmm::jacobian 8_10_1000 , 0.033966212 s evaluate ✓
[160] eval gmm::jacobian 10_8_1000 , 0.043725187 s evaluate ✓
[164] eval gmm::jacobian 20_4_1000 , 0.081579745 s evaluate ✓
[168] eval gmm::jacobian 6_15_1000 , 0.036433826 s evaluate ✓
[172] eval gmm::jacobian 12_8_1000 , 0.051780543 s evaluate ✓
[176] eval gmm::jacobian 16_6_1000 , 0.107461269 s evaluate ✓
[180] eval gmm::jacobian 24_4_1000 , 0.118967172 s evaluate ✓
[184] eval gmm::jacobian 2_50_1000 , 0.036278889 s evaluate ✓
[188] eval gmm::jacobian 4_25_1000 , 0.038984167 s evaluate ✓
[192] eval gmm::jacobian 10_10_1000 , 0.062870370 s evaluate ✓
[196] eval gmm::jacobian 28_4_1000 , 0.194125000 s evaluate ✓
[200] eval gmm::jacobian 4_30_1000 , 0.046642800 s evaluate ✓
[204] eval gmm::jacobian 6_20_1000 , 0.058025641 s evaluate ✓
[208] eval gmm::jacobian 8_15_1000 , 0.068276727 s evaluate ✓
[212] eval gmm::jacobian 12_10_1000 , 0.071690332 s evaluate ✓
[216] eval gmm::jacobian 20_6_1000 , 0.162912500 s evaluate ✓
[220] eval gmm::jacobian 16_8_1000 , 0.133752040 s evaluate ✓
[224] eval gmm::jacobian 32_4_1000 , 0.282138889 s evaluate ✓
[228] eval gmm::jacobian 24_6_1000 , 0.253459259 s evaluate ✓
[232] eval gmm::jacobian 6_25_1000 , 0.054373377 s evaluate ✓
[236] eval gmm::jacobian 10_15_1000 , 0.084918269 s evaluate ✓
[240] eval gmm::jacobian 4_40_1000 , 0.076016835 s evaluate ✓
[244] eval gmm::jacobian 8_20_1000 , 0.073663743 s evaluate ✓
[248] eval gmm::jacobian 16_10_1000 , 0.130696970 s evaluate ✓
[252] eval gmm::jacobian 20_8_1000 , 0.245917508 s evaluate ✓
[256] eval gmm::jacobian 28_6_1000 , 1.431103175 s evaluate ✓
[260] eval gmm::jacobian 6_30_1000 , 0.146070175 s evaluate ✓
[264] eval gmm::jacobian 12_15_1000 , 0.103889472 s evaluate ✓
[268] eval gmm::jacobian 24_8_1000 , 0.226900000 s evaluate ✓
[272] eval gmm::jacobian 32_6_1000 , 0.401916667 s evaluate ✓
[276] eval gmm::jacobian 4_50_1000 , 0.070586404 s evaluate ✓
[280] eval gmm::jacobian 8_25_1000 , 0.086217262 s evaluate ✓
[284] eval gmm::jacobian 10_20_1000 , 0.115088889 s evaluate ✓
[288] eval gmm::jacobian 20_10_1000 , 0.761199074 s evaluate ✓
[292] eval gmm::jacobian 28_8_1000 , 0.402555556 s evaluate ✓
[296] eval gmm::jacobian 6_40_1000 , 0.115800366 s evaluate ✓
[300] eval gmm::jacobian 8_30_1000 , 0.147303030 s evaluate ✓
[304] eval gmm::jacobian 12_20_1000 , 0.255266667 s evaluate ✓
[308] eval gmm::jacobian 16_15_1000 , 0.295457407 s evaluate ✓
[312] eval gmm::jacobian 24_10_1000 , 0.432166667 s evaluate ✓
[316] eval gmm::jacobian 10_25_1000 , 0.176996212 s evaluate ✓
[320] eval gmm::jacobian 32_8_1000 , 0.709000000 s evaluate ✓
[324] eval gmm::jacobian 28_10_1000 , 0.640333333 s evaluate ✓
[328] eval gmm::jacobian 6_50_1000 , 0.184538462 s evaluate ✓
[332] eval gmm::jacobian 10_30_1000 , 0.247863095 s evaluate ✓
[336] eval gmm::jacobian 12_25_1000 , 0.299407407 s evaluate ✓
[340] eval gmm::jacobian 20_15_1000 , 0.419066667 s evaluate ✓
[344] eval gmm::jacobian 8_40_1000 , 0.233472222 s evaluate ✓
[348] eval gmm::jacobian 16_20_1000 , 0.371793651 s evaluate ✓
[352] eval gmm::jacobian 32_10_1000 , 0.839666667 s evaluate ✓
[356] eval gmm::jacobian 12_30_1000 , 0.410777778 s evaluate ✓
[360] eval gmm::jacobian 24_15_1000 , 0.514416667 s evaluate ✓
[364] eval gmm::jacobian 8_50_1000 , 0.265642857 s evaluate ✓
[368] eval gmm::jacobian 10_40_1000 , 0.309888889 s evaluate ✓
[372] eval gmm::jacobian 16_25_1000 , 0.421977778 s evaluate ✓
[376] eval gmm::jacobian 20_20_1000 , 1.129916667 s evaluate ✓
[380] eval gmm::jacobian 28_15_1000 , 1.204222222 s evaluate ✓
[384] eval gmm::jacobian 12_40_1000 , 0.562000000 s evaluate ✓
[388] eval gmm::jacobian 16_30_1000 , 0.750111111 s evaluate ✓
[392] eval gmm::jacobian 24_20_1000 , 0.931277778 s evaluate ✓
[396] eval gmm::jacobian 32_15_1000 , 3.038166667 s evaluate ✓
[400] eval gmm::jacobian 10_50_1000 , 0.883722222 s evaluate ✓
[404] eval gmm::jacobian 20_25_1000 , 1.872944444 s evaluate ✓
[408] eval gmm::jacobian 28_20_1000 , 4.051833333 s evaluate ✓
[412] eval gmm::jacobian 12_50_1000 , 2.279500000 s evaluate ✓
[416] eval gmm::jacobian 20_30_1000 , 2.669833333 s evaluate ✓
[420] eval gmm::jacobian 24_25_1000 , 3.103500000 s evaluate ✓
[424] eval gmm::jacobian 16_40_1000 , 1.759722222 s evaluate ✓
[428] eval gmm::jacobian 32_20_1000 , 3.718333333 s evaluate ✓
[432] eval gmm::jacobian 28_25_1000 , 3.516333333 s evaluate ✓
[436] eval gmm::jacobian 24_30_1000 , 3.360166667 s evaluate ✓
[440] eval gmm::jacobian 16_50_1000 , 2.737444444 s evaluate ✓
[444] eval gmm::jacobian 20_40_1000 , 3.274833333 s evaluate ✓
[448] eval gmm::jacobian 32_25_1000 , 4.970000000 s evaluate ✓
[452] eval gmm::jacobian 28_30_1000 , 4.461666667 s evaluate ✓
[456] eval gmm::jacobian 24_40_1000 , 11.040833333 s evaluate ✓
[460] eval gmm::jacobian 32_30_1000 , 5.004333333 s evaluate ✓
[464] eval gmm::jacobian 20_50_1000 , 4.342000000 s evaluate ✓
[468] eval gmm::jacobian 28_40_1000 , 7.014666667 s evaluate ✓
[472] eval gmm::jacobian 24_50_1000 , 4.085333333 s evaluate ✓
[476] eval gmm::jacobian 32_40_1000 , 6.059333333 s evaluate ✓
[480] eval gmm::jacobian 28_50_1000 , 6.299000000 s evaluate ✓
[484] eval gmm::jacobian 32_50_1000 , 8.119333333 s evaluate ✓
