[4] eval ode::gradient n=1000,s=1 , 0.000765538 s evaluate ✓
[360] eval ode::gradient n=15000,s=50 , 1.321000000 s evaluate ✓
[364] eval ode::gradient n=25000,s=30 , 1.960833333 s evaluate ✓
[368] eval ode::gradient n=30000,s=25 , 1.545666667 s evaluate ✓
[372] eval ode::gradient n=50000,s=15 , 1.803666667 s evaluate ✓
[376] eval ode::gradient n=20000,s=40 , 1.551666667 s evaluate ✓
[380] eval ode::gradient n=40000,s=20 , 1.580333333 s evaluate ✓
[384] eval ode::gradient n=30000,s=30 , 1.782000000 s evaluate ✓
[388] eval ode::gradient n=20000,s=50 , 2.324833333 s evaluate ✓
[392] eval ode::gradient n=25000,s=40 , 3.151333333 s evaluate ✓
[396] eval ode::gradient n=40000,s=25 , 2.515666667 s evaluate ✓
[400] eval ode::gradient n=50000,s=20 , 3.987000000 s evaluate ✓
[404] eval ode::gradient n=30000,s=40 , 3.541500000 s evaluate ✓
[408] eval ode::gradient n=40000,s=30 , 3.148000000 s evaluate ✓
[412] eval ode::gradient n=25000,s=50 , 4.365333333 s evaluate ✓
[416] eval ode::gradient n=50000,s=25 , 3.229166667 s evaluate ✓
[420] eval ode::gradient n=30000,s=50 , 4.001666667 s evaluate ✓
[424] eval ode::gradient n=50000,s=30 , 5.525333333 s evaluate ✓
[428] eval ode::gradient n=40000,s=40 , 5.590333333 s evaluate ✓
[432] eval ode::gradient n=40000,s=50 , 10.237000000 s evaluate ✓
[436] eval ode::gradient n=50000,s=40 , 6.858000000 s evaluate ✓
[440] eval ode::gradient n=50000,s=50 , 14.490000000 s evaluate ✓
