[4] eval gmm::jacobian 2_2_1000 , 0.001953241 s evaluate ✓
[148] eval gmm::jacobian 2_40_1000 , 0.015697310 s evaluate ✓
[152] eval gmm::jacobian 4_20_1000 , 0.016791667 s evaluate ✓
[156] eval gmm::jacobian 8_10_1000 , 0.036289299 s evaluate ✓
[160] eval gmm::jacobian 10_8_1000 , 0.060366764 s evaluate ✓
[164] eval gmm::jacobian 20_4_1000 , 0.080594444 s evaluate ✓
[168] eval gmm::jacobian 6_15_1000 , 0.031742172 s evaluate ✓
[172] eval gmm::jacobian 12_8_1000 , 0.061976799 s evaluate ✓
[176] eval gmm::jacobian 16_6_1000 , 0.090929233 s evaluate ✓
[180] eval gmm::jacobian 24_4_1000 , 0.095727273 s evaluate ✓
[184] eval gmm::jacobian 2_50_1000 , 0.026546085 s evaluate ✓
[188] eval gmm::jacobian 4_25_1000 , 0.029516068 s evaluate ✓
[192] eval gmm::jacobian 10_10_1000 , 0.041093130 s evaluate ✓
[196] eval gmm::jacobian 28_4_1000 , 0.152665657 s evaluate ✓
[200] eval gmm::jacobian 4_30_1000 , 0.029994551 s evaluate ✓
[204] eval gmm::jacobian 6_20_1000 , 0.031738510 s evaluate ✓
[208] eval gmm::jacobian 8_15_1000 , 0.035836144 s evaluate ✓
[212] eval gmm::jacobian 12_10_1000 , 0.066157516 s evaluate ✓
[216] eval gmm::jacobian 20_6_1000 , 0.095065657 s evaluate ✓
[220] eval gmm::jacobian 16_8_1000 , 0.076705556 s evaluate ✓
[224] eval gmm::jacobian 32_4_1000 , 0.173283333 s evaluate ✓
[228] eval gmm::jacobian 24_6_1000 , 0.154958333 s evaluate ✓
[232] eval gmm::jacobian 6_25_1000 , 0.055895286 s evaluate ✓
[236] eval gmm::jacobian 10_15_1000 , 0.059224537 s evaluate ✓
[240] eval gmm::jacobian 4_40_1000 , 0.044869297 s evaluate ✓
[244] eval gmm::jacobian 8_20_1000 , 0.059399782 s evaluate ✓
[248] eval gmm::jacobian 16_10_1000 , 0.103959596 s evaluate ✓
[252] eval gmm::jacobian 20_8_1000 , 0.149797619 s evaluate ✓
[256] eval gmm::jacobian 28_6_1000 , 0.183984127 s evaluate ✓
[260] eval gmm::jacobian 6_30_1000 , 0.067146008 s evaluate ✓
[264] eval gmm::jacobian 12_15_1000 , 0.075814286 s evaluate ✓
[268] eval gmm::jacobian 24_8_1000 , 0.190357143 s evaluate ✓
[272] eval gmm::jacobian 32_6_1000 , 0.283483333 s evaluate ✓
[276] eval gmm::jacobian 4_50_1000 , 0.068740741 s evaluate ✓
[280] eval gmm::jacobian 8_25_1000 , 0.073709325 s evaluate ✓
[284] eval gmm::jacobian 10_20_1000 , 0.106758242 s evaluate ✓
[288] eval gmm::jacobian 20_10_1000 , 0.161583333 s evaluate ✓
[292] eval gmm::jacobian 28_8_1000 , 0.328377778 s evaluate ✓
[296] eval gmm::jacobian 6_40_1000 , 0.084492036 s evaluate ✓
[300] eval gmm::jacobian 8_30_1000 , 0.082592075 s evaluate ✓
[304] eval gmm::jacobian 12_20_1000 , 0.114188889 s evaluate ✓
[308] eval gmm::jacobian 16_15_1000 , 0.176317460 s evaluate ✓
[312] eval gmm::jacobian 24_10_1000 , 0.292555556 s evaluate ✓
[316] eval gmm::jacobian 10_25_1000 , 0.141166667 s evaluate ✓
[320] eval gmm::jacobian 32_8_1000 , 0.393777778 s evaluate ✓
[324] eval gmm::jacobian 28_10_1000 , 0.518166667 s evaluate ✓
[328] eval gmm::jacobian 6_50_1000 , 0.177437710 s evaluate ✓
[332] eval gmm::jacobian 10_30_1000 , 0.168500000 s evaluate ✓
[336] eval gmm::jacobian 12_25_1000 , 0.214742063 s evaluate ✓
[340] eval gmm::jacobian 20_15_1000 , 0.475694444 s evaluate ✓
[344] eval gmm::jacobian 8_40_1000 , 0.198988095 s evaluate ✓
[348] eval gmm::jacobian 16_20_1000 , 0.297311111 s evaluate ✓
[352] eval gmm::jacobian 32_10_1000 , 1.106166667 s evaluate ✓
[356] eval gmm::jacobian 12_30_1000 , 0.334783333 s evaluate ✓
[360] eval gmm::jacobian 24_15_1000 , 0.892583333 s evaluate ✓
[364] eval gmm::jacobian 8_50_1000 , 0.233883333 s evaluate ✓
[368] eval gmm::jacobian 10_40_1000 , 0.279350000 s evaluate ✓
[372] eval gmm::jacobian 16_25_1000 , 0.326916667 s evaluate ✓
[376] eval gmm::jacobian 20_20_1000 , 0.511694444 s evaluate ✓
[380] eval gmm::jacobian 28_15_1000 , 1.051111111 s evaluate ✓
[384] eval gmm::jacobian 12_40_1000 , 0.438333333 s evaluate ✓
[388] eval gmm::jacobian 16_30_1000 , 0.520305556 s evaluate ✓
[392] eval gmm::jacobian 24_20_1000 , 1.109166667 s evaluate ✓
[396] eval gmm::jacobian 32_15_1000 , 1.173500000 s evaluate ✓
[400] eval gmm::jacobian 10_50_1000 , 0.303350000 s evaluate ✓
[404] eval gmm::jacobian 20_25_1000 , 0.756833333 s evaluate ✓
[408] eval gmm::jacobian 28_20_1000 , 1.084166667 s evaluate ✓
[412] eval gmm::jacobian 12_50_1000 , 0.405750000 s evaluate ✓
[416] eval gmm::jacobian 20_30_1000 , 0.597833333 s evaluate ✓
[420] eval gmm::jacobian 24_25_1000 , 0.747500000 s evaluate ✓
[424] eval gmm::jacobian 16_40_1000 , 1.418666667 s evaluate ✓
[428] eval gmm::jacobian 32_20_1000 , 1.719333333 s evaluate ✓
[432] eval gmm::jacobian 28_25_1000 , 1.531333333 s evaluate ✓
[436] eval gmm::jacobian 24_30_1000 , 1.309833333 s evaluate ✓
[440] eval gmm::jacobian 16_50_1000 , 1.159166667 s evaluate ✓
[444] eval gmm::jacobian 20_40_1000 , 1.476000000 s evaluate ✓
[448] eval gmm::jacobian 32_25_1000 , 3.219000000 s evaluate ✓
[452] eval gmm::jacobian 28_30_1000 , 1.826333333 s evaluate ✓
[456] eval gmm::jacobian 24_40_1000 , 2.227333333 s evaluate ✓
[460] eval gmm::jacobian 32_30_1000 , 2.438666667 s evaluate ✓
[464] eval gmm::jacobian 20_50_1000 , 1.304666667 s evaluate ✓
[468] eval gmm::jacobian 28_40_1000 , 1.912000000 s evaluate ✓
[472] eval gmm::jacobian 24_50_1000 , 1.709333333 s evaluate ✓
[476] eval gmm::jacobian 32_40_1000 , 3.428333333 s evaluate ✓
[480] eval gmm::jacobian 28_50_1000 , 2.291666667 s evaluate ✓
[484] eval gmm::jacobian 32_50_1000 , 3.868333333 s evaluate ✓
