[4] eval gmm::jacobian 2_2_1000 , 0.000885093 s evaluate ✓
[216] eval gmm::jacobian 20_6_1000 , 0.172148148 s evaluate ✓
[220] eval gmm::jacobian 16_8_1000 , 0.178138721 s evaluate ✓
[224] eval gmm::jacobian 32_4_1000 , 0.373361111 s evaluate ✓
[228] eval gmm::jacobian 24_6_1000 , 0.332675000 s evaluate ✓
[232] eval gmm::jacobian 6_25_1000 , 0.083952381 s evaluate ✓
[236] eval gmm::jacobian 10_15_1000 , 0.105887443 s evaluate ✓
[240] eval gmm::jacobian 4_40_1000 , 0.060861264 s evaluate ✓
[244] eval gmm::jacobian 8_20_1000 , 0.122580952 s evaluate ✓
[248] eval gmm::jacobian 16_10_1000 , 0.498533333 s evaluate ✓
[252] eval gmm::jacobian 20_8_1000 , 0.907571429 s evaluate ✓
[256] eval gmm::jacobian 28_6_1000 , 0.643100000 s evaluate ✓
[260] eval gmm::jacobian 6_30_1000 , 0.118064695 s evaluate ✓
[264] eval gmm::jacobian 12_15_1000 , 0.175925397 s evaluate ✓
[268] eval gmm::jacobian 24_8_1000 , 1.079400000 s evaluate ✓
[272] eval gmm::jacobian 32_6_1000 , 0.997055556 s evaluate ✓
[276] eval gmm::jacobian 4_50_1000 , 0.097772727 s evaluate ✓
[280] eval gmm::jacobian 8_25_1000 , 0.179803613 s evaluate ✓
[284] eval gmm::jacobian 10_20_1000 , 0.114805556 s evaluate ✓
[288] eval gmm::jacobian 20_10_1000 , 0.511300000 s evaluate ✓
[292] eval gmm::jacobian 28_8_1000 , 0.809638889 s evaluate ✓
[296] eval gmm::jacobian 6_40_1000 , 0.124416667 s evaluate ✓
[300] eval gmm::jacobian 8_30_1000 , 0.176695238 s evaluate ✓
[304] eval gmm::jacobian 12_20_1000 , 0.225077273 s evaluate ✓
[308] eval gmm::jacobian 16_15_1000 , 0.257583333 s evaluate ✓
[312] eval gmm::jacobian 24_10_1000 , 0.467722222 s evaluate ✓
[316] eval gmm::jacobian 10_25_1000 , 0.163232323 s evaluate ✓
[320] eval gmm::jacobian 32_8_1000 , 1.037444444 s evaluate ✓
[324] eval gmm::jacobian 28_10_1000 , 1.049611111 s evaluate ✓
[328] eval gmm::jacobian 6_50_1000 , 0.228546296 s evaluate ✓
[332] eval gmm::jacobian 10_30_1000 , 0.285972222 s evaluate ✓
[336] eval gmm::jacobian 12_25_1000 , 0.326083333 s evaluate ✓
[340] eval gmm::jacobian 20_15_1000 , 0.648083333 s evaluate ✓
[344] eval gmm::jacobian 8_40_1000 , 0.365611111 s evaluate ✓
[348] eval gmm::jacobian 16_20_1000 , 0.386666667 s evaluate ✓
[352] eval gmm::jacobian 32_10_1000 , 1.340333333 s evaluate ✓
[356] eval gmm::jacobian 12_30_1000 , 0.341000000 s evaluate ✓
[360] eval gmm::jacobian 24_15_1000 , 1.325333333 s evaluate ✓
[364] eval gmm::jacobian 8_50_1000 , 0.246550000 s evaluate ✓
[368] eval gmm::jacobian 10_40_1000 , 0.305500000 s evaluate ✓
[372] eval gmm::jacobian 16_25_1000 , 0.579750000 s evaluate ✓
[376] eval gmm::jacobian 20_20_1000 , 0.562555556 s evaluate ✓
[380] eval gmm::jacobian 28_15_1000 , 1.178833333 s evaluate ✓
[384] eval gmm::jacobian 12_40_1000 , 0.528500000 s evaluate ✓
[388] eval gmm::jacobian 16_30_1000 , 0.568222222 s evaluate ✓
[392] eval gmm::jacobian 24_20_1000 , 1.742000000 s evaluate ✓
[396] eval gmm::jacobian 32_15_1000 , 1.389333333 s evaluate ✓
[400] eval gmm::jacobian 10_50_1000 , 0.450133333 s evaluate ✓
[404] eval gmm::jacobian 20_25_1000 , 1.075333333 s evaluate ✓
[408] eval gmm::jacobian 28_20_1000 , 1.762500000 s evaluate ✓
[412] eval gmm::jacobian 12_50_1000 , 1.384833333 s evaluate ✓
[416] eval gmm::jacobian 20_30_1000 , 0.964000000 s evaluate ✓
[420] eval gmm::jacobian 24_25_1000 , 1.452666667 s evaluate ✓
[424] eval gmm::jacobian 16_40_1000 , 1.570333333 s evaluate ✓
[428] eval gmm::jacobian 32_20_1000 , 2.717666667 s evaluate ✓
[432] eval gmm::jacobian 28_25_1000 , 2.117666667 s evaluate ✓
[436] eval gmm::jacobian 24_30_1000 , 1.544666667 s evaluate ✓
[440] eval gmm::jacobian 16_50_1000 , 1.468833333 s evaluate ✓
[444] eval gmm::jacobian 20_40_1000 , 1.566166667 s evaluate ✓
[448] eval gmm::jacobian 32_25_1000 , 2.506000000 s evaluate ✓
[452] eval gmm::jacobian 28_30_1000 , 2.540333333 s evaluate ✓
[456] eval gmm::jacobian 24_40_1000 , 2.608666667 s evaluate ✓
[460] eval gmm::jacobian 32_30_1000 , 3.720333333 s evaluate ✓
[464] eval gmm::jacobian 20_50_1000 , 2.073666667 s evaluate ✓
[468] eval gmm::jacobian 28_40_1000 , 3.747666667 s evaluate ✓
[472] eval gmm::jacobian 24_50_1000 , 3.086666667 s evaluate ✓
[476] eval gmm::jacobian 32_40_1000 , 4.918666667 s evaluate ✓
[480] eval gmm::jacobian 28_50_1000 , 4.045666667 s evaluate ✓
[484] eval gmm::jacobian 32_50_1000 , 4.565666667 s evaluate ✓
