[4] eval ode::gradient n=1000,s=1 , 0.000527928 s evaluate ✓
[272] eval ode::gradient n=7500,s=40 , 0.123450758 s evaluate ✓
[276] eval ode::gradient n=10000,s=30 , 0.142730159 s evaluate ✓
[280] eval ode::gradient n=15000,s=20 , 0.126259259 s evaluate ✓
[284] eval ode::gradient n=20000,s=15 , 0.122907407 s evaluate ✓
[288] eval ode::gradient n=30000,s=10 , 0.199638889 s evaluate ✓
[292] eval ode::gradient n=7500,s=50 , 0.163410053 s evaluate ✓
[296] eval ode::gradient n=15000,s=25 , 0.160243386 s evaluate ✓
[300] eval ode::gradient n=25000,s=15 , 0.199613889 s evaluate ✓
[304] eval ode::gradient n=10000,s=40 , 0.180388889 s evaluate ✓
[308] eval ode::gradient n=20000,s=20 , 0.203313889 s evaluate ✓
[312] eval ode::gradient n=40000,s=10 , 0.246793651 s evaluate ✓
[316] eval ode::gradient n=15000,s=30 , 0.195161111 s evaluate ✓
[320] eval ode::gradient n=30000,s=15 , 0.219227778 s evaluate ✓
[324] eval ode::gradient n=10000,s=50 , 0.206114286 s evaluate ✓
[328] eval ode::gradient n=20000,s=25 , 0.339400794 s evaluate ✓
[332] eval ode::gradient n=25000,s=20 , 0.272416667 s evaluate ✓
[336] eval ode::gradient n=50000,s=10 , 0.271355556 s evaluate ✓
[340] eval ode::gradient n=15000,s=40 , 0.318422222 s evaluate ✓
[344] eval ode::gradient n=20000,s=30 , 0.253916667 s evaluate ✓
[348] eval ode::gradient n=30000,s=20 , 0.309433333 s evaluate ✓
[352] eval ode::gradient n=40000,s=15 , 0.310466667 s evaluate ✓
[356] eval ode::gradient n=25000,s=25 , 0.292766667 s evaluate ✓
[360] eval ode::gradient n=15000,s=50 , 0.409638889 s evaluate ✓
[364] eval ode::gradient n=25000,s=30 , 0.310500000 s evaluate ✓
[368] eval ode::gradient n=30000,s=25 , 0.328500000 s evaluate ✓
[372] eval ode::gradient n=50000,s=15 , 0.392700000 s evaluate ✓
[376] eval ode::gradient n=20000,s=40 , 0.399977778 s evaluate ✓
[380] eval ode::gradient n=40000,s=20 , 0.404805556 s evaluate ✓
[384] eval ode::gradient n=30000,s=30 , 0.590666667 s evaluate ✓
[388] eval ode::gradient n=20000,s=50 , 0.601111111 s evaluate ✓
[392] eval ode::gradient n=25000,s=40 , 0.473333333 s evaluate ✓
[396] eval ode::gradient n=40000,s=25 , 0.563333333 s evaluate ✓
[400] eval ode::gradient n=50000,s=20 , 0.540555556 s evaluate ✓
[404] eval ode::gradient n=30000,s=40 , 0.638944444 s evaluate ✓
[408] eval ode::gradient n=40000,s=30 , 0.721833333 s evaluate ✓
[412] eval ode::gradient n=25000,s=50 , 0.619333333 s evaluate ✓
[416] eval ode::gradient n=50000,s=25 , 0.655333333 s evaluate ✓
[420] eval ode::gradient n=30000,s=50 , 0.755000000 s evaluate ✓
[424] eval ode::gradient n=50000,s=30 , 0.788055556 s evaluate ✓
[428] eval ode::gradient n=40000,s=40 , 0.786833333 s evaluate ✓
[432] eval ode::gradient n=40000,s=50 , 0.890666667 s evaluate ✓
[436] eval ode::gradient n=50000,s=40 , 1.363833333 s evaluate ✓
[440] eval ode::gradient n=50000,s=50 , 1.115833333 s evaluate ✓
