[4] eval ode::gradient n=1000,s=1 , 0.000536554 s evaluate ✓
[280] eval ode::gradient n=15000,s=20 , 0.182753968 s evaluate ✓
[284] eval ode::gradient n=20000,s=15 , 0.177880952 s evaluate ✓
[288] eval ode::gradient n=30000,s=10 , 0.311694444 s evaluate ✓
[292] eval ode::gradient n=7500,s=50 , 0.257027778 s evaluate ✓
[296] eval ode::gradient n=15000,s=25 , 0.395083333 s evaluate ✓
[300] eval ode::gradient n=25000,s=15 , 0.306688889 s evaluate ✓
[304] eval ode::gradient n=10000,s=40 , 0.512566667 s evaluate ✓
[308] eval ode::gradient n=20000,s=20 , 0.460555556 s evaluate ✓
[312] eval ode::gradient n=40000,s=10 , 0.400888889 s evaluate ✓
[316] eval ode::gradient n=15000,s=30 , 0.311538889 s evaluate ✓
[320] eval ode::gradient n=30000,s=15 , 0.308416667 s evaluate ✓
[324] eval ode::gradient n=10000,s=50 , 0.258400000 s evaluate ✓
[328] eval ode::gradient n=20000,s=25 , 0.358972222 s evaluate ✓
[332] eval ode::gradient n=25000,s=20 , 0.329961111 s evaluate ✓
[336] eval ode::gradient n=50000,s=10 , 0.580916667 s evaluate ✓
[340] eval ode::gradient n=15000,s=40 , 0.450222222 s evaluate ✓
[344] eval ode::gradient n=20000,s=30 , 0.506222222 s evaluate ✓
[348] eval ode::gradient n=30000,s=20 , 0.446555556 s evaluate ✓
[352] eval ode::gradient n=40000,s=15 , 0.447000000 s evaluate ✓
[356] eval ode::gradient n=25000,s=25 , 0.476555556 s evaluate ✓
[360] eval ode::gradient n=15000,s=50 , 0.544333333 s evaluate ✓
[364] eval ode::gradient n=25000,s=30 , 0.587000000 s evaluate ✓
[368] eval ode::gradient n=30000,s=25 , 0.561888889 s evaluate ✓
[372] eval ode::gradient n=50000,s=15 , 0.614277778 s evaluate ✓
[376] eval ode::gradient n=20000,s=40 , 0.529166667 s evaluate ✓
[380] eval ode::gradient n=40000,s=20 , 0.545611111 s evaluate ✓
[384] eval ode::gradient n=30000,s=30 , 0.477333333 s evaluate ✓
[388] eval ode::gradient n=20000,s=50 , 0.593777778 s evaluate ✓
[392] eval ode::gradient n=25000,s=40 , 0.838833333 s evaluate ✓
[396] eval ode::gradient n=40000,s=25 , 0.873666667 s evaluate ✓
[400] eval ode::gradient n=50000,s=20 , 0.908388889 s evaluate ✓
[404] eval ode::gradient n=30000,s=40 , 0.759333333 s evaluate ✓
[408] eval ode::gradient n=40000,s=30 , 1.019833333 s evaluate ✓
[412] eval ode::gradient n=25000,s=50 , 0.877833333 s evaluate ✓
[416] eval ode::gradient n=50000,s=25 , 1.752333333 s evaluate ✓
[420] eval ode::gradient n=30000,s=50 , 1.463500000 s evaluate ✓
[424] eval ode::gradient n=50000,s=30 , 1.568666667 s evaluate ✓
[428] eval ode::gradient n=40000,s=40 , 1.399666667 s evaluate ✓
[432] eval ode::gradient n=40000,s=50 , 1.490333333 s evaluate ✓
[436] eval ode::gradient n=50000,s=40 , 1.653666667 s evaluate ✓
[440] eval ode::gradient n=50000,s=50 , 5.428333333 s evaluate ✓
