[4] eval llsq::gradient n=16,m=16 , 0.000040155 s evaluate ✓
[284] eval llsq::gradient n=1024,m=112 , 0.008792789 s evaluate ✓
[288] eval llsq::gradient n=1024,m=128 , 0.010431741 s evaluate ✓
[292] eval llsq::gradient n=2048,m=64 , 0.011734666 s evaluate ✓
[296] eval llsq::gradient n=4096,m=32 , 0.011530909 s evaluate ✓
[300] eval llsq::gradient n=8192,m=16 , 0.008650042 s evaluate ✓
[304] eval llsq::gradient n=1024,m=144 , 0.009547788 s evaluate ✓
[308] eval llsq::gradient n=1024,m=160 , 0.012088590 s evaluate ✓
[312] eval llsq::gradient n=2048,m=80 , 0.011196609 s evaluate ✓
[316] eval llsq::gradient n=2048,m=96 , 0.013529828 s evaluate ✓
[320] eval llsq::gradient n=4096,m=48 , 0.013442393 s evaluate ✓
[324] eval llsq::gradient n=2048,m=112 , 0.020956031 s evaluate ✓
[328] eval llsq::gradient n=2048,m=128 , 0.021699517 s evaluate ✓
[332] eval llsq::gradient n=4096,m=64 , 0.025648597 s evaluate ✓
[336] eval llsq::gradient n=8192,m=32 , 0.025145372 s evaluate ✓
[340] eval llsq::gradient n=16385,m=16 , 0.022840045 s evaluate ✓
[344] eval llsq::gradient n=2048,m=144 , 0.027127627 s evaluate ✓
[348] eval llsq::gradient n=2048,m=160 , 0.038452400 s evaluate ✓
[352] eval llsq::gradient n=4096,m=80 , 0.029216429 s evaluate ✓
[356] eval llsq::gradient n=4096,m=96 , 0.030891071 s evaluate ✓
[360] eval llsq::gradient n=8192,m=48 , 0.031510520 s evaluate ✓
[364] eval llsq::gradient n=4096,m=112 , 0.045344365 s evaluate ✓
[368] eval llsq::gradient n=4096,m=128 , 0.061062049 s evaluate ✓
[372] eval llsq::gradient n=8192,m=64 , 0.048785364 s evaluate ✓
[376] eval llsq::gradient n=16385,m=32 , 0.051976894 s evaluate ✓
[380] eval llsq::gradient n=4096,m=144 , 0.062210928 s evaluate ✓
[384] eval llsq::gradient n=4096,m=160 , 0.055827657 s evaluate ✓
[388] eval llsq::gradient n=8192,m=80 , 0.057646296 s evaluate ✓
[392] eval llsq::gradient n=8192,m=96 , 0.065664146 s evaluate ✓
[396] eval llsq::gradient n=16385,m=48 , 0.062388228 s evaluate ✓
[400] eval llsq::gradient n=8192,m=112 , 0.087368687 s evaluate ✓
[404] eval llsq::gradient n=8192,m=128 , 0.101281481 s evaluate ✓
[408] eval llsq::gradient n=16385,m=64 , 0.107166667 s evaluate ✓
[412] eval llsq::gradient n=8192,m=144 , 0.109150926 s evaluate ✓
[416] eval llsq::gradient n=8192,m=160 , 0.114597222 s evaluate ✓
[420] eval llsq::gradient n=16385,m=80 , 0.122000000 s evaluate ✓
[424] eval llsq::gradient n=16385,m=96 , 0.134113095 s evaluate ✓
[428] eval llsq::gradient n=16385,m=112 , 0.211805556 s evaluate ✓
[432] eval llsq::gradient n=16385,m=128 , 0.260316667 s evaluate ✓
[436] eval llsq::gradient n=16385,m=144 , 0.283750000 s evaluate ✓
[440] eval llsq::gradient n=16385,m=160 , 0.318305556 s evaluate ✓
