[4] eval gmm::jacobian 2_2_1000 , 0.004163035 s evaluate ✓
[256] eval gmm::jacobian 28_6_1000 , 0.499333333 s evaluate ✓
[260] eval gmm::jacobian 6_30_1000 , 0.179618519 s evaluate ✓
[264] eval gmm::jacobian 12_15_1000 , 0.239966667 s evaluate ✓
[268] eval gmm::jacobian 24_8_1000 , 0.753722222 s evaluate ✓
[272] eval gmm::jacobian 32_6_1000 , 0.869888889 s evaluate ✓
[276] eval gmm::jacobian 4_50_1000 , 0.184371693 s evaluate ✓
[280] eval gmm::jacobian 8_25_1000 , 0.275619048 s evaluate ✓
[284] eval gmm::jacobian 10_20_1000 , 0.234555556 s evaluate ✓
[288] eval gmm::jacobian 20_10_1000 , 0.391000000 s evaluate ✓
[292] eval gmm::jacobian 28_8_1000 , 0.556777778 s evaluate ✓
[296] eval gmm::jacobian 6_40_1000 , 0.185309524 s evaluate ✓
[300] eval gmm::jacobian 8_30_1000 , 0.263772222 s evaluate ✓
[304] eval gmm::jacobian 12_20_1000 , 0.358666667 s evaluate ✓
[308] eval gmm::jacobian 16_15_1000 , 0.408111111 s evaluate ✓
[312] eval gmm::jacobian 24_10_1000 , 0.554666667 s evaluate ✓
[316] eval gmm::jacobian 10_25_1000 , 0.243000000 s evaluate ✓
[320] eval gmm::jacobian 32_8_1000 , 0.797000000 s evaluate ✓
[324] eval gmm::jacobian 28_10_1000 , 0.722000000 s evaluate ✓
[328] eval gmm::jacobian 6_50_1000 , 0.234177778 s evaluate ✓
[332] eval gmm::jacobian 10_30_1000 , 0.286250000 s evaluate ✓
[336] eval gmm::jacobian 12_25_1000 , 0.349361111 s evaluate ✓
[340] eval gmm::jacobian 20_15_1000 , 0.587777778 s evaluate ✓
[344] eval gmm::jacobian 8_40_1000 , 0.281666667 s evaluate ✓
[348] eval gmm::jacobian 16_20_1000 , 0.480888889 s evaluate ✓
[352] eval gmm::jacobian 32_10_1000 , 1.153500000 s evaluate ✓
[356] eval gmm::jacobian 12_30_1000 , 0.478611111 s evaluate ✓
[360] eval gmm::jacobian 24_15_1000 , 0.842666667 s evaluate ✓
[364] eval gmm::jacobian 8_50_1000 , 0.349722222 s evaluate ✓
[368] eval gmm::jacobian 10_40_1000 , 0.461000000 s evaluate ✓
[372] eval gmm::jacobian 16_25_1000 , 0.622000000 s evaluate ✓
[376] eval gmm::jacobian 20_20_1000 , 0.760666667 s evaluate ✓
[380] eval gmm::jacobian 28_15_1000 , 2.116666667 s evaluate ✓
[384] eval gmm::jacobian 12_40_1000 , 0.851388889 s evaluate ✓
[388] eval gmm::jacobian 16_30_1000 , 0.956833333 s evaluate ✓
[392] eval gmm::jacobian 24_20_1000 , 1.278166667 s evaluate ✓
[396] eval gmm::jacobian 32_15_1000 , 3.750666667 s evaluate ✓
[400] eval gmm::jacobian 10_50_1000 , 0.469333333 s evaluate ✓
[404] eval gmm::jacobian 20_25_1000 , 0.908666667 s evaluate ✓
[408] eval gmm::jacobian 28_20_1000 , 2.087666667 s evaluate ✓
[412] eval gmm::jacobian 12_50_1000 , 0.858833333 s evaluate ✓
[416] eval gmm::jacobian 20_30_1000 , 1.213166667 s evaluate ✓
[420] eval gmm::jacobian 24_25_1000 , 1.461333333 s evaluate ✓
[424] eval gmm::jacobian 16_40_1000 , 0.913166667 s evaluate ✓
[428] eval gmm::jacobian 32_20_1000 , 5.135666667 s evaluate ✓
[432] eval gmm::jacobian 28_25_1000 , 1.909666667 s evaluate ✓
[436] eval gmm::jacobian 24_30_1000 , 1.979333333 s evaluate ✓
[440] eval gmm::jacobian 16_50_1000 , 1.172333333 s evaluate ✓
[444] eval gmm::jacobian 20_40_1000 , 1.583333333 s evaluate ✓
[448] eval gmm::jacobian 32_25_1000 , 6.221000000 s evaluate ✓
[452] eval gmm::jacobian 28_30_1000 , 2.609333333 s evaluate ✓
[456] eval gmm::jacobian 24_40_1000 , 2.087000000 s evaluate ✓
[460] eval gmm::jacobian 32_30_1000 , 6.140000000 s evaluate ✓
[464] eval gmm::jacobian 20_50_1000 , 2.027666667 s evaluate ✓
[468] eval gmm::jacobian 28_40_1000 , 4.358333333 s evaluate ✓
[472] eval gmm::jacobian 24_50_1000 , 3.203000000 s evaluate ✓
[476] eval gmm::jacobian 32_40_1000 , 8.631000000 s evaluate ✓
[480] eval gmm::jacobian 28_50_1000 , 3.861333333 s evaluate ✓
[484] eval gmm::jacobian 32_50_1000 , 12.099000000 s evaluate ✓
