[4] eval llsq::gradient n=16,m=16 , 0.000009052 s evaluate ✓
[144] eval llsq::gradient n=64,m=144 , 0.000038770 s evaluate ✓
[148] eval llsq::gradient n=64,m=160 , 0.000047024 s evaluate ✓
[152] eval llsq::gradient n=128,m=80 , 0.000026449 s evaluate ✓
[156] eval llsq::gradient n=128,m=96 , 0.000054934 s evaluate ✓
[160] eval llsq::gradient n=256,m=48 , 0.000025121 s evaluate ✓
[164] eval llsq::gradient n=128,m=112 , 0.000060207 s evaluate ✓
[168] eval llsq::gradient n=128,m=128 , 0.000067263 s evaluate ✓
[172] eval llsq::gradient n=256,m=64 , 0.000030769 s evaluate ✓
[176] eval llsq::gradient n=512,m=32 , 0.000031303 s evaluate ✓
[180] eval llsq::gradient n=1024,m=16 , 0.000039013 s evaluate ✓
[184] eval llsq::gradient n=128,m=144 , 0.000078973 s evaluate ✓
[188] eval llsq::gradient n=128,m=160 , 0.000088961 s evaluate ✓
[192] eval llsq::gradient n=256,m=80 , 0.000042793 s evaluate ✓
[196] eval llsq::gradient n=256,m=96 , 0.000108001 s evaluate ✓
[200] eval llsq::gradient n=512,m=48 , 0.000042177 s evaluate ✓
[204] eval llsq::gradient n=256,m=112 , 0.000114613 s evaluate ✓
[208] eval llsq::gradient n=256,m=128 , 0.000130179 s evaluate ✓
[212] eval llsq::gradient n=512,m=64 , 0.000073818 s evaluate ✓
[216] eval llsq::gradient n=1024,m=32 , 0.000061286 s evaluate ✓
[220] eval llsq::gradient n=2048,m=16 , 0.000089806 s evaluate ✓
[224] eval llsq::gradient n=256,m=144 , 0.000171242 s evaluate ✓
[228] eval llsq::gradient n=256,m=160 , 0.000213997 s evaluate ✓
[232] eval llsq::gradient n=512,m=80 , 0.000070694 s evaluate ✓
[236] eval llsq::gradient n=512,m=96 , 0.000197515 s evaluate ✓
[240] eval llsq::gradient n=1024,m=48 , 0.000087121 s evaluate ✓
[244] eval llsq::gradient n=512,m=112 , 0.000242190 s evaluate ✓
[248] eval llsq::gradient n=512,m=128 , 0.000304680 s evaluate ✓
[252] eval llsq::gradient n=1024,m=64 , 0.000111228 s evaluate ✓
[256] eval llsq::gradient n=2048,m=32 , 0.000112680 s evaluate ✓
[260] eval llsq::gradient n=4096,m=16 , 0.000127773 s evaluate ✓
[264] eval llsq::gradient n=512,m=144 , 0.000283119 s evaluate ✓
[268] eval llsq::gradient n=512,m=160 , 0.000348167 s evaluate ✓
[272] eval llsq::gradient n=1024,m=80 , 0.000147594 s evaluate ✓
[276] eval llsq::gradient n=1024,m=96 , 0.000348090 s evaluate ✓
[280] eval llsq::gradient n=2048,m=48 , 0.000160662 s evaluate ✓
[284] eval llsq::gradient n=1024,m=112 , 0.000480900 s evaluate ✓
[288] eval llsq::gradient n=1024,m=128 , 0.000475370 s evaluate ✓
[292] eval llsq::gradient n=2048,m=64 , 0.000266363 s evaluate ✓
[296] eval llsq::gradient n=4096,m=32 , 0.000237886 s evaluate ✓
[300] eval llsq::gradient n=8192,m=16 , 0.000274953 s evaluate ✓
[304] eval llsq::gradient n=1024,m=144 , 0.000626794 s evaluate ✓
[308] eval llsq::gradient n=1024,m=160 , 0.000660389 s evaluate ✓
[312] eval llsq::gradient n=2048,m=80 , 0.000252001 s evaluate ✓
[316] eval llsq::gradient n=2048,m=96 , 0.000859462 s evaluate ✓
[320] eval llsq::gradient n=4096,m=48 , 0.000304476 s evaluate ✓
[324] eval llsq::gradient n=2048,m=112 , 0.000810932 s evaluate ✓
[328] eval llsq::gradient n=2048,m=128 , 0.001018936 s evaluate ✓
[332] eval llsq::gradient n=4096,m=64 , 0.000411260 s evaluate ✓
[336] eval llsq::gradient n=8192,m=32 , 0.000460196 s evaluate ✓
[340] eval llsq::gradient n=16385,m=16 , 0.000606140 s evaluate ✓
[344] eval llsq::gradient n=2048,m=144 , 0.001072299 s evaluate ✓
[348] eval llsq::gradient n=2048,m=160 , 0.001315869 s evaluate ✓
[352] eval llsq::gradient n=4096,m=80 , 0.000585654 s evaluate ✓
[356] eval llsq::gradient n=4096,m=96 , 0.001649385 s evaluate ✓
[360] eval llsq::gradient n=8192,m=48 , 0.000574137 s evaluate ✓
[364] eval llsq::gradient n=4096,m=112 , 0.001565667 s evaluate ✓
[368] eval llsq::gradient n=4096,m=128 , 0.001972991 s evaluate ✓
[372] eval llsq::gradient n=8192,m=64 , 0.000865270 s evaluate ✓
[376] eval llsq::gradient n=16385,m=32 , 0.000911673 s evaluate ✓
[380] eval llsq::gradient n=4096,m=144 , 0.002028384 s evaluate ✓
[384] eval llsq::gradient n=4096,m=160 , 0.002520655 s evaluate ✓
[388] eval llsq::gradient n=8192,m=80 , 0.001177760 s evaluate ✓
[392] eval llsq::gradient n=8192,m=96 , 0.003101336 s evaluate ✓
[396] eval llsq::gradient n=16385,m=48 , 0.001323298 s evaluate ✓
[400] eval llsq::gradient n=8192,m=112 , 0.003106942 s evaluate ✓
[404] eval llsq::gradient n=8192,m=128 , 0.003835834 s evaluate ✓
[408] eval llsq::gradient n=16385,m=64 , 0.001775702 s evaluate ✓
[412] eval llsq::gradient n=8192,m=144 , 0.004261744 s evaluate ✓
[416] eval llsq::gradient n=8192,m=160 , 0.004961229 s evaluate ✓
[420] eval llsq::gradient n=16385,m=80 , 0.002056171 s evaluate ✓
[424] eval llsq::gradient n=16385,m=96 , 0.005733426 s evaluate ✓
[428] eval llsq::gradient n=16385,m=112 , 0.006114432 s evaluate ✓
[432] eval llsq::gradient n=16385,m=128 , 0.007712820 s evaluate ✓
[436] eval llsq::gradient n=16385,m=144 , 0.007974890 s evaluate ✓
[440] eval llsq::gradient n=16385,m=160 , 0.010133748 s evaluate ✓
