[4] eval gmm::jacobian 2_2_1000 , 0.012767988 s evaluate ✓
[412] eval gmm::jacobian 12_50_1000 , 3.440000000 s evaluate ✓
[416] eval gmm::jacobian 20_30_1000 , 4.014666667 s evaluate ✓
[420] eval gmm::jacobian 24_25_1000 , 4.967000000 s evaluate ✓
[424] eval gmm::jacobian 16_40_1000 , 4.588000000 s evaluate ✓
[428] eval gmm::jacobian 32_20_1000 , 7.393333333 s evaluate ✓
[432] eval gmm::jacobian 28_25_1000 , 6.849000000 s evaluate ✓
[436] eval gmm::jacobian 24_30_1000 , 8.853000000 s evaluate ✓
[440] eval gmm::jacobian 16_50_1000 , 5.145333333 s evaluate ✓
[444] eval gmm::jacobian 20_40_1000 , 5.335333333 s evaluate ✓
[448] eval gmm::jacobian 32_25_1000 , 9.453333333 s evaluate ✓
[452] eval gmm::jacobian 28_30_1000 , 9.078666667 s evaluate ✓
[456] eval gmm::jacobian 24_40_1000 , 7.963000000 s evaluate ✓
[460] eval gmm::jacobian 32_30_1000 , 8.725666667 s evaluate ✓
[464] eval gmm::jacobian 20_50_1000 , 7.907000000 s evaluate ✓
[468] eval gmm::jacobian 28_40_1000 , 10.391333333 s evaluate ✓
[472] eval gmm::jacobian 24_50_1000 , 10.212666667 s evaluate ✓
[476] eval gmm::jacobian 32_40_1000 , 13.233666667 s evaluate ✓
[480] eval gmm::jacobian 28_50_1000 , 13.482666667 s evaluate ✓
[484] eval gmm::jacobian 32_50_1000 , 17.352666667 s evaluate ✓
