[4] eval llsq::gradient n=16,m=16 , 0.000082574 s evaluate ✓
[140] eval llsq::gradient n=512,m=16 , 0.001019295 s evaluate ✓
[144] eval llsq::gradient n=64,m=144 , 0.001198710 s evaluate ✓
[148] eval llsq::gradient n=64,m=160 , 0.001378911 s evaluate ✓
[152] eval llsq::gradient n=128,m=80 , 0.001229514 s evaluate ✓
[156] eval llsq::gradient n=128,m=96 , 0.001491135 s evaluate ✓
[160] eval llsq::gradient n=256,m=48 , 0.001425242 s evaluate ✓
[164] eval llsq::gradient n=128,m=112 , 0.001727700 s evaluate ✓
[168] eval llsq::gradient n=128,m=128 , 0.001802244 s evaluate ✓
[172] eval llsq::gradient n=256,m=64 , 0.002289179 s evaluate ✓
[176] eval llsq::gradient n=512,m=32 , 0.001993764 s evaluate ✓
[180] eval llsq::gradient n=1024,m=16 , 0.002432044 s evaluate ✓
[184] eval llsq::gradient n=128,m=144 , 0.002376196 s evaluate ✓
[188] eval llsq::gradient n=128,m=160 , 0.002710618 s evaluate ✓
[192] eval llsq::gradient n=256,m=80 , 0.002664632 s evaluate ✓
[196] eval llsq::gradient n=256,m=96 , 0.002972737 s evaluate ✓
[200] eval llsq::gradient n=512,m=48 , 0.002758601 s evaluate ✓
[204] eval llsq::gradient n=256,m=112 , 0.003087471 s evaluate ✓
[208] eval llsq::gradient n=256,m=128 , 0.003531849 s evaluate ✓
[212] eval llsq::gradient n=512,m=64 , 0.003595707 s evaluate ✓
[216] eval llsq::gradient n=1024,m=32 , 0.003847402 s evaluate ✓
[220] eval llsq::gradient n=2048,m=16 , 0.003749853 s evaluate ✓
[224] eval llsq::gradient n=256,m=144 , 0.004186974 s evaluate ✓
[228] eval llsq::gradient n=256,m=160 , 0.004475581 s evaluate ✓
[232] eval llsq::gradient n=512,m=80 , 0.004497733 s evaluate ✓
[236] eval llsq::gradient n=512,m=96 , 0.005170044 s evaluate ✓
[240] eval llsq::gradient n=1024,m=48 , 0.005410509 s evaluate ✓
[244] eval llsq::gradient n=512,m=112 , 0.006276535 s evaluate ✓
[248] eval llsq::gradient n=512,m=128 , 0.006659135 s evaluate ✓
[252] eval llsq::gradient n=1024,m=64 , 0.007216091 s evaluate ✓
[256] eval llsq::gradient n=2048,m=32 , 0.007036020 s evaluate ✓
[260] eval llsq::gradient n=4096,m=16 , 0.008430783 s evaluate ✓
[264] eval llsq::gradient n=512,m=144 , 0.007596218 s evaluate ✓
[268] eval llsq::gradient n=512,m=160 , 0.008073690 s evaluate ✓
[272] eval llsq::gradient n=1024,m=80 , 0.008607345 s evaluate ✓
[276] eval llsq::gradient n=1024,m=96 , 0.009764112 s evaluate ✓
[280] eval llsq::gradient n=2048,m=48 , 0.010484941 s evaluate ✓
[284] eval llsq::gradient n=1024,m=112 , 0.012188256 s evaluate ✓
[288] eval llsq::gradient n=1024,m=128 , 0.015488575 s evaluate ✓
[292] eval llsq::gradient n=2048,m=64 , 0.015404998 s evaluate ✓
[296] eval llsq::gradient n=4096,m=32 , 0.014118184 s evaluate ✓
[300] eval llsq::gradient n=8192,m=16 , 0.013278010 s evaluate ✓
[304] eval llsq::gradient n=1024,m=144 , 0.015303605 s evaluate ✓
[308] eval llsq::gradient n=1024,m=160 , 0.019162872 s evaluate ✓
[312] eval llsq::gradient n=2048,m=80 , 0.016190972 s evaluate ✓
[316] eval llsq::gradient n=2048,m=96 , 0.020113360 s evaluate ✓
[320] eval llsq::gradient n=4096,m=48 , 0.019717744 s evaluate ✓
[324] eval llsq::gradient n=2048,m=112 , 0.021911177 s evaluate ✓
[328] eval llsq::gradient n=2048,m=128 , 0.024879915 s evaluate ✓
[332] eval llsq::gradient n=4096,m=64 , 0.025947484 s evaluate ✓
[336] eval llsq::gradient n=8192,m=32 , 0.027409561 s evaluate ✓
[340] eval llsq::gradient n=16385,m=16 , 0.026832661 s evaluate ✓
[344] eval llsq::gradient n=2048,m=144 , 0.028025054 s evaluate ✓
[348] eval llsq::gradient n=2048,m=160 , 0.032452337 s evaluate ✓
[352] eval llsq::gradient n=4096,m=80 , 0.037400418 s evaluate ✓
[356] eval llsq::gradient n=4096,m=96 , 0.037666667 s evaluate ✓
[360] eval llsq::gradient n=8192,m=48 , 0.038138177 s evaluate ✓
[364] eval llsq::gradient n=4096,m=112 , 0.043409750 s evaluate ✓
[368] eval llsq::gradient n=4096,m=128 , 0.048848485 s evaluate ✓
[372] eval llsq::gradient n=8192,m=64 , 0.055491562 s evaluate ✓
[376] eval llsq::gradient n=16385,m=32 , 0.049635589 s evaluate ✓
[380] eval llsq::gradient n=4096,m=144 , 0.054614035 s evaluate ✓
[384] eval llsq::gradient n=4096,m=160 , 0.063348915 s evaluate ✓
[388] eval llsq::gradient n=8192,m=80 , 0.060612745 s evaluate ✓
[392] eval llsq::gradient n=8192,m=96 , 0.079595238 s evaluate ✓
[396] eval llsq::gradient n=16385,m=48 , 0.074306227 s evaluate ✓
[400] eval llsq::gradient n=8192,m=112 , 0.094108262 s evaluate ✓
[404] eval llsq::gradient n=8192,m=128 , 0.120808466 s evaluate ✓
[408] eval llsq::gradient n=16385,m=64 , 0.107485185 s evaluate ✓
[412] eval llsq::gradient n=8192,m=144 , 0.116222222 s evaluate ✓
[416] eval llsq::gradient n=8192,m=160 , 0.121898148 s evaluate ✓
[420] eval llsq::gradient n=16385,m=80 , 0.131000000 s evaluate ✓
[424] eval llsq::gradient n=16385,m=96 , 0.159793651 s evaluate ✓
[428] eval llsq::gradient n=16385,m=112 , 0.215600000 s evaluate ✓
[432] eval llsq::gradient n=16385,m=128 , 0.207611111 s evaluate ✓
[436] eval llsq::gradient n=16385,m=144 , 0.220800000 s evaluate ✓
[440] eval llsq::gradient n=16385,m=160 , 0.259333333 s evaluate ✓
